"Source:","C:\Users\cdude\University of Cape Town\EEE3088F - General\CircuitsV2.0\PowerSubmodule\Power Module.sch"
"Date:","28/05/2021 1:40:41 AM"
"Tool:","Eeschema (5.1.10)-1"
"Generator:","E:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","20"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","0.01µ","Device:C_Small","","~","","","","","",""
"","","C2","Cpar=100p,Rser=10k","Device:C_Small","","~","","","","","",""
"","","C3","0.1µ","Device:C_Small","","~","","","","","",""
"","","C4","4.7µ","Device:C_Small","","~","","","","","",""
"","","C5","0.1µ","Device:C_Small","","~","","","","","",""
"","","C6","1n","Device:C_Small","","~","","","","","",""
"","","C7","150µ x3, Rser=0.1","Device:C_Small","","~","","","","","",""
"","","IC1","LTC3895IFE#TRPBF","LTC3895PartLib:LTC3895IFE#TRPBF","SOP50P640X120-39N","https://www.analog.com/media/en/technical-documentation/data-sheets/3895fa.pdf","Switching Voltage Regulators 150V Low Iq Synchronous Step-Down Controller","1.2","Linear Technology","LTC3895IFE#TRPBF","584-LTC3895IFE#TRPBF","https://www.mouser.com/Search/Refine.aspx?Keyword=584-LTC3895IFE%23TRPBF"
"","","L1","33µ, Rser=15m","Device:L_Small","","~","","","","","",""
"","","Q1","Si4482DY","Transistor_FET:BSC082N10LSG","Package_TO_SOT_SMD:TDSON-8-1","http://www.infineon.com/dgdl/Infineon-BSC082N10LS-DS-v01_07-en.pdf?fileId=db3a3043163797a6011647faad240719","","","","","",""
"","","Q2","BSC082N10LSG","Transistor_FET:BSC082N10LSG","Package_TO_SOT_SMD:TDSON-8-1","http://www.infineon.com/dgdl/Infineon-BSC082N10LS-DS-v01_07-en.pdf?fileId=db3a3043163797a6011647faad240719","","","","","",""
"","","Q3","BSC082N10LSG","Transistor_FET:BSC082N10LSG","Package_TO_SOT_SMD:TDSON-8-1","http://www.infineon.com/dgdl/Infineon-BSC082N10LS-DS-v01_07-en.pdf?fileId=db3a3043163797a6011647faad240719","","","","","",""
"","","R1","1Meg","Device:R_Small_US","","~","","","","","",""
"","","R2","18.7k","Device:R_Small_US","","~","","","","","",""
"","","R3","511k","Device:R_Small_US","","~","","","","","",""
"","","R4","30.1k","Device:R_Small_US","","~","","","","","",""
"","","R5","75k","Device:R_Small_US","","~","","","","","",""
"","","R6","6m","Device:R_Small_US","","~","","","","","",""
"","","R7","511k","Device:R_Small_US","","~","","","","","",""
"","","R8","36.5k","Device:R_Small_US","","~","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","C1","0.01µ","Device:C_Small","","~","","","","","",""
"2","1","C2","Cpar=100p,Rser=10k","Device:C_Small","","~","","","","","",""
"3","2","C3, C5","0.1µ","Device:C_Small","","~","","","","","",""
"4","1","C4","4.7µ","Device:C_Small","","~","","","","","",""
"5","1","C6","1n","Device:C_Small","","~","","","","","",""
"6","1","C7","150µ x3, Rser=0.1","Device:C_Small","","~","","","","","",""
"7","1","IC1","LTC3895IFE#TRPBF","LTC3895PartLib:LTC3895IFE#TRPBF","SOP50P640X120-39N","https://www.analog.com/media/en/technical-documentation/data-sheets/3895fa.pdf","Switching Voltage Regulators 150V Low Iq Synchronous Step-Down Controller","1.2","Linear Technology","LTC3895IFE#TRPBF","584-LTC3895IFE#TRPBF","https://www.mouser.com/Search/Refine.aspx?Keyword=584-LTC3895IFE%23TRPBF"
"8","1","L1","33µ, Rser=15m","Device:L_Small","","~","","","","","",""
"9","1","Q1","Si4482DY","Transistor_FET:BSC082N10LSG","Package_TO_SOT_SMD:TDSON-8-1","http://www.infineon.com/dgdl/Infineon-BSC082N10LS-DS-v01_07-en.pdf?fileId=db3a3043163797a6011647faad240719","","","","","",""
"10","2","Q2, Q3","BSC082N10LSG","Transistor_FET:BSC082N10LSG","Package_TO_SOT_SMD:TDSON-8-1","http://www.infineon.com/dgdl/Infineon-BSC082N10LS-DS-v01_07-en.pdf?fileId=db3a3043163797a6011647faad240719","","","","","",""
"11","1","R1","1Meg","Device:R_Small_US","","~","","","","","",""
"12","1","R2","18.7k","Device:R_Small_US","","~","","","","","",""
"13","2","R3, R7","511k","Device:R_Small_US","","~","","","","","",""
"14","1","R4","30.1k","Device:R_Small_US","","~","","","","","",""
"15","1","R5","75k","Device:R_Small_US","","~","","","","","",""
"16","1","R6","6m","Device:R_Small_US","","~","","","","","",""
"17","1","R8","36.5k","Device:R_Small_US","","~","","","","","",""
